model,sttl,ct_state_ttl,sbytes,dttl,smeansz,dmeansz,service,ct_dst_sport_ltm,ct_dst_src_ltm,ct_srv_dst,Dload,ct_srv_src,proto,ct_src_dport_ltm,state,tcprtt,synack,Sload,swin,ct_dst_ltm,dwin,dur,ackdat,ct_src_ ltm,dbytes,Dpkts,stcpb,Dintpkt,dtcpb,ct_ftp_cmd,Sjit,Sintpkt,Spkts,dloss,Djit,sloss,ct_flw_http_mthd,res_bdy_len,trans_depth,is_ftp_login,is_sm_ips_ports,f1_score
lgbm_0_vanilla,825.0,225.0,4510.0,105.0,3945.0,1341.0,1059.0,361.0,1055.0,1231.0,947.0,969.0,1573.0,452.0,114.0,652.0,771.0,1604.0,12.0,421.0,0.0,1037.0,666.0,721.0,1476.0,239.0,974.0,534.0,1018.0,537.0,863.0,806.0,454.0,521.0,793.0,579.0,456.0,748.0,39.0,13.0,4.0,0.62162
lgbm_1_vanilla,843.0,238.0,4398.0,122.0,3983.0,1340.0,1101.0,371.0,1116.0,1225.0,904.0,997.0,1554.0,428.0,90.0,617.0,831.0,1582.0,15.0,415.0,0.0,1044.0,672.0,777.0,1433.0,264.0,1008.0,582.0,1006.0,542.0,816.0,783.0,446.0,537.0,783.0,590.0,433.0,705.0,34.0,14.0,11.0,0.61831
lgbm_2_vanilla,886.0,251.0,4391.0,127.0,4083.0,1351.0,1108.0,374.0,1090.0,1196.0,939.0,1027.0,1464.0,452.0,82.0,599.0,793.0,1651.0,11.0,449.0,0.0,1041.0,677.0,767.0,1415.0,242.0,971.0,526.0,934.0,540.0,902.0,770.0,447.0,508.0,809.0,614.0,420.0,698.0,28.0,14.0,3.0,0.621568
lgbm_3_vanilla,856.0,253.0,4228.0,119.0,4029.0,1475.0,1087.0,373.0,1130.0,1225.0,947.0,973.0,1594.0,452.0,99.0,663.0,795.0,1676.0,15.0,398.0,0.0,1015.0,637.0,756.0,1420.0,269.0,978.0,539.0,933.0,544.0,839.0,819.0,440.0,525.0,806.0,605.0,429.0,649.0,40.0,11.0,9.0,0.619001
lgbm_4_vanilla,868.0,246.0,4227.0,121.0,4205.0,1367.0,1087.0,377.0,1110.0,1221.0,880.0,1033.0,1520.0,432.0,95.0,623.0,803.0,1650.0,10.0,407.0,0.0,1069.0,629.0,744.0,1437.0,265.0,1029.0,504.0,931.0,542.0,857.0,780.0,424.0,511.0,757.0,662.0,450.0,709.0,37.0,16.0,15.0,0.617738
xgboost_0_vanilla,0.06950180232524872,0.6025384068489075,0.0245884507894516,0.11214093863964081,0.006749256979674101,0.010693524964153767,0.023840265348553658,0.0015640691854059696,0.017861634492874146,0.0017571678617969155,0.006135988514870405,0.0017533610807731748,0.003884961362928152,0.0031258617527782917,0.03561348095536232,0.004514382686465979,0.00894105900079012,0.0009776020888239145,0.027299491688609123,0.0011993504595011473,0.0005354970344342291,0.0007473304867744446,0.0021313491743057966,0.0006158670876175165,0.004301551729440689,0.001615451998077333,0.000445064390078187,0.001016707275994122,0.00048092042561620474,0.0014611551305279136,0.0005735005252063274,0.0006671030423603952,0.0018520366866141558,0.0032879917416721582,0.0006223470554687083,0.0031962059438228607,0.001255137613043189,0.001994076184928417,0.0013375785201787949,0.0017177776899188757,0.005464248359203339,0.615036
xgboost_1_vanilla,0.40503019094467163,0.287800133228302,0.04254115745425224,0.14411891996860504,0.004521967377513647,0.006802226882427931,0.013079932890832424,0.0013543169479817152,0.00103770662099123,0.003044567769393325,0.001463294611312449,0.0011754082515835762,0.0021131769753992558,0.0020974555518478155,0.017968330532312393,0.005465158727020025,0.0032139543909579515,0.0010669701732695103,0.008261998184025288,0.0012472473317757249,0.002077406272292137,0.0030909767374396324,0.0008603358874097466,0.00028491552802734077,0.0026556996162980795,0.0019269435433670878,0.0004954062751494348,0.0007798042497597635,0.00045289943227544427,0.0016986980335786939,0.0005299527547322214,0.0013606513384729624,0.0012643174268305302,0.0028422416653484106,0.0006876890547573566,0.004170804750174284,0.0018342960393056273,0.0019272537901997566,0.0022109542042016983,0.002429812680929899,0.013014779426157475,0.613163
xgboost_2_vanilla,0.06423964351415634,0.6305863261222839,0.030080648139119148,0.14061208069324493,0.005394470412284136,0.007087951060384512,0.010620326735079288,0.006178461015224457,0.000678866752423346,0.00268171401694417,0.0012825817102566361,0.001029696431942284,0.0022315785754472017,0.0025342623703181744,0.0070801288820803165,0.003796346951276064,0.004066690802574158,0.0007912344881333411,0.008271734230220318,0.0008270528633147478,0.02422255463898182,0.0009211486321873963,0.0004015912127215415,0.0003161462373100221,0.0031897409353405237,0.001380769768729806,0.0003907834179699421,0.0011773058213293552,0.00036710803396999836,0.0008614528924226761,0.0004601178807206452,0.0004748660430777818,0.001243501203134656,0.0022901752963662148,0.0005174326943233609,0.003026532242074609,0.002187924226745963,0.0016514274757355452,0.0020923754200339317,0.0019098783377557993,0.020845310762524605,0.615863
xgboost_3_vanilla,0.4786067605018616,0.21093782782554626,0.035733819007873535,0.0939670279622078,0.004930570255964994,0.00722062774002552,0.015520156361162663,0.0036340635269880295,0.0008136989781633019,0.003973004408180714,0.006481820251792669,0.0015100741293281317,0.0022804709151387215,0.002331809839233756,0.014900529757142067,0.003981984220445156,0.0036640402395278215,0.0008695053984411061,0.01305833738297224,0.0019202784169465303,0.0012176993768662214,0.0005448347656056285,0.0026885487604886293,0.0002528682234697044,0.00336165982298553,0.004145724233239889,0.00046393604134209454,0.001315985806286335,0.0004683963197749108,0.001583493547514081,0.0004819952300749719,0.0006613984005525708,0.0013910327106714249,0.003387139178812504,0.0006190158892422915,0.002844241913408041,0.002122547710314393,0.0010656159138306975,0.0022628542501479387,0.0019734676461666822,0.060811080038547516,0.61324
xgboost_4_vanilla,0.30682942271232605,0.46833428740501404,0.010784207843244076,0.07915432006120682,0.006869568955153227,0.005285984370857477,0.012141462415456772,0.002017051912844181,0.000874010962434113,0.005793463438749313,0.0031572890002280474,0.0007560197846032679,0.003285694634541869,0.0012130384566262364,0.02444317564368248,0.004181678406894207,0.005067185964435339,0.0010088876588270068,0.005472561344504356,0.0016265097074210644,0.0005569294444285333,0.00037138324114494026,0.0005107179749757051,0.0002673346607480198,0.0026881566736847162,0.001995449187234044,0.00037976590101607144,0.0005384550313465297,0.0003536940785124898,0.0014383221277967095,0.0006134486175142229,0.0005778004415333271,0.0012383771827444434,0.0033216848969459534,0.0005256002186797559,0.004007901530712843,0.001258945558220148,0.001266190316528082,0.0019870707765221596,0.0019145465921610594,0.025892462581396103,0.612881
Pearson_0,0.5222962086532982,0.5490459515753519,0.042217617148118086,0.2834601707091759,0.06197833482302055,0.23951787871892816,0.012799699578459667,0.09760044093341218,0.10955514093039519,0.059969913916978465,0.2673984252621381,0.058831856263108884,0.24022809696430195,0.08278233795562638,0.3377452934938579,0.2657057940324366,0.2452043965336525,0.16067360753111026,0.1955574969988049,0.03348872857510863,0.19456002904351397,0.026444210374185748,0.25677890659651514,0.05696214446402267,0.06547173136575718,0.09798004691017208,0.15393310778471755,0.004240378318176816,0.15534200707718407,0.244814557171505,0.04714636943092933,0.014984099405108735,0.04308310026131544,0.08110258620996798,0.025590748607745458,0.020150567773121537,0.04846229072481645,0.020535090424378257,0.034982439321796024,0.0013601469849119664,0.02017078585901702,1.0
Anova_0,339209.1541119343,255280.65465769693,178.25164795581935,29773.478802711594,3694.704474540075,12141.830641385724,3159.8631354783797,49078.48457867469,52914.87301491675,48046.6767484352,8013.509956586911,46567.302249916866,7081.449823221115,37638.1300477961,26424.672562616826,13351.350913148919,11493.35167728671,2939.0174355236613,22437.033595817684,31849.00381468178,22309.989841679435,90.808014884054,11606.220604552665,28536.13624203729,710.8399222325963,1679.132696458482,11802.1134518092,117.77959655646137,11858.989989745596,10054.944441632613,1121.5049265850253,105.58589163743031,1003.2199751475389,1112.79261797716,910.2707082975955,262.5155233119476,1174.4863876830177,97.08978607545707,777.1588372269462,442.4220288294293,37.513669783122296,1.0
Chi2_0,253854.005475757,328269.6174617474,36798.19431016095,295203.9304603905,53085.77623317892,143288.28551519316,26971.95490990004,283791.7117572386,261815.41164496914,214857.46953597947,145820.2350322348,207853.28598642812,5946.365471645227,259596.8590809504,33765.37812202608,346870.83084721136,325427.6895916958,54696.47785923869,153697.0368089595,197744.06713707023,153386.9259697757,17706.21814684758,332105.73899310443,175261.69715953048,39713.804273460184,59099.73385302161,122321.40696662517,19493.41434197914,122683.943027965,120220.16040406663,118991.81389820356,15274.525669371826,41010.97905370609,49014.68607825733,40001.39515796999,25558.10253431563,63632.40536385846,13965.485853010647,43925.48521578629,35423.19566307941,11017.186912336538,1.0
